Question,Option A,Option B,Categories,Work Safe,Mature,Shape,Why It Works
Do you decorate for holidays or skip it entirely?,Decorate,Skip it,Home; Habits,TRUE,FALSE,HABIT,Festive-personality split
Are surprise parties actually a good idea?,Yes,No,Social; Debate,TRUE,FALSE,GREY,Love-it-or-dread-it
Would you go back to being a kid if you could?,Yes,No,Deep; Life Stage,TRUE,FALSE,TRADE,Nostalgia reveal
Do you still own a stuffed animal or toy from childhood?,Yes,No,Lifestyle; Confession,TRUE,FALSE,CONFESS,Sweet-secret reveal
Is growing older something to dread?,Yes,No,Deep; Belief,TRUE,FALSE,BELIEF,Outlook divide
Would you want to be 25 forever?,Yes,No,Deep; Values,TRUE,FALSE,TRADE,Age-fantasy split
Do you remember your dreams most mornings?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Surprising-split reveal
Were things really better 'back in the day'?,Yes,No,Society; Belief,TRUE,FALSE,BELIEF,Nostalgia-bias test
Was your childhood happier than your life now?,Yes,No,Deep; Confession,TRUE,FALSE,CONFESS,Heavy but honest split
Are dogs better than cats?,Dogs,Cats,Lifestyle; Debate,TRUE,FALSE,TASTE,The eternal split
Should pets be allowed to sleep on the bed?,Yes,No,Lifestyle; Debate,TRUE,FALSE,GREY,Household divide
Would you spend your savings to save a pet's life?,Yes,No,Lifestyle; Values,TRUE,FALSE,GREY,Attachment reveal
Do you talk to animals you meet in the street?,Yes,No,Lifestyle; Confession,TRUE,FALSE,CONFESS,Wholesome reveal
Is it okay to dress up your pet?,Yes,No,Lifestyle; Taste,TRUE,FALSE,TASTE,Fun divide
Is an open-plan home better than separate rooms?,Open-plan,Separate rooms,Home; Design,TRUE,FALSE,TASTE,Design-taste split
Is it ever okay to go to bed angry?,Yes,No,Relationships; Belief,TRUE,FALSE,BELIEF,Advice people disagree on
Would you rather have a bigger home or a better location?,Bigger home,Better location,Home; Values,TRUE,FALSE,TRADE,Priority reveal
Should the toilet lid be closed by default?,Yes,No,Home; Etiquette,TRUE,FALSE,NORM,Household flashpoint
Is a clean home a sign of a clear mind?,Yes,No,Home; Belief,TRUE,FALSE,BELIEF,Self-justifying split
Is rain relaxing or depressing?,Relaxing,Depressing,Lifestyle; Taste,TRUE,FALSE,TASTE,Mood split
Would you rather live somewhere always warm or with four seasons?,Always warm,Four seasons,Lifestyle; Values,TRUE,FALSE,TRADE,Climate-personality split
Is snow magical or just a nuisance?,Magical,Nuisance,Lifestyle; Taste,TRUE,FALSE,TASTE,Region-dependent split
Would you tell your partner about a dream where you cheated?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,Honesty-vs-peace split
Have you ever compared a partner to an ex out loud?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Cringe-honest reveal
Is sexting someone else cheating?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Modern-fidelity flashpoint
Have you ever stalked a date's ex online?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Guilty-common reveal
Have you ever lied about being 'exclusive'?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Dark dating reveal
Is a friends-with-benefits setup doomed to get messy?,Yes,No,Sex & Dating; Belief,FALSE,TRUE,BELIEF,Cynic vs optimist
Have you ever sent a risky text to the wrong person?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Mortifying-relatable
Would you tell your partner your exact 'number' if they asked?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,Honesty-cost split
Is flirting 'as a joke' still cheating?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Boundary flashpoint
Have you ever had a crush on a friend's sibling?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Taboo-lite reveal
Would you hook up with an ex at a wedding?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,GREY,Temptation reveal
Is it a red flag if someone is still close with every ex?,Yes,No,Sex & Dating; Belief,FALSE,TRUE,BELIEF,Trust divide
Have you ever pretended to be more into someone than you were?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Kindness-vs-honesty reveal
Would you date someone all your friends disliked?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,Independence reveal
Is checking out other people while taken totally normal?,Yes,No,Sex & Dating; Debate,FALSE,TRUE,BELIEF,Honesty flashpoint
Have you ever kept talking to a match after starting to date someone?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Grey dating reveal
Is it okay to have one 'exception' celebrity your partner allows?,Yes,No,Sex & Dating; Fun,FALSE,TRUE,GREY,Playful-taboo split
Would you want to know your partner's exact dating history?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,GREY,Curiosity vs peace
Have you ever faked being into a hobby to impress a date?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Dating-performance reveal
Is a big age gap a dealbreaker if both are adults?,Yes,No,Sex & Dating; Debate,FALSE,TRUE,BELIEF,Values flashpoint
Have you ever called in sick purely to nurse a hangover?,Yes,No,Vices; Confession,FALSE,TRUE,CONFESS,"Common, taboo to say"
Is it okay to be a little drunk at a work event?,Yes,No,Vices; Debate,FALSE,TRUE,GREY,Professional-norm split
Have you ever texted an ex while drunk?,Yes,No,Vices; Confession,FALSE,TRUE,CONFESS,Universally relatable
Is weed less harmful than alcohol?,Yes,No,Vices; Debate,FALSE,TRUE,BELIEF,Genuinely contested
Have you ever regretted something you posted while drinking?,Yes,No,Vices; Confession,FALSE,TRUE,CONFESS,Guilty-common reveal
Would you go out hard the night before something important?,Yes,No,Vices; Values,FALSE,TRUE,TRADE,Impulse-control split
Is a hangover ever a fair price for a great night?,Yes,No,Vices; Values,FALSE,TRUE,TRADE,Age-dependent split
Have you ever read a message that wasn't meant for you?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Temptation reveal
Would you look through a partner's phone if it was unlocked and there?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Trust-temptation split
Have you ever kept money a friend forgot they lent you?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Quiet-dishonesty reveal
Is it okay to end a long friendship by simply fading away?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Ghosting-friends divide
Have you ever pretended to be happy for someone while resenting them?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,"Taboo, widely true"
Would you keep a friend's secret even if it hurt someone else?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Loyalty vs harm
Have you ever wished you could restart your whole life?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Heavy but common
Is it okay to lie to your family to keep the peace?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Harmony-vs-honesty
Would you tell a friend a brutal truth if it might end the friendship?,Yes,No,Dark; Relationships,FALSE,TRUE,GREY,Honesty-cost split
Have you ever felt jealous of a friend's success and hidden it?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Near-universal reveal
Is it okay to keep a secret from your partner to protect them?,Yes,No,Dark; Relationships,FALSE,TRUE,GREY,Protective-lie divide
Would you press a button for $1M if a stranger somewhere lost their job?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Trolley-lite reveal
Are you still a little scared of the dark as an adult?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,"Private, more common than admitted"
Do you avoid stepping on cracks in the pavement?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Childhood-habit reveal
Do you check the door is locked more than once?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Anxiety-quirk split
Do you rehearse arguments in your head that never happen?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,"Near-universal, feels solo"
Do you hate the sound of your own recorded voice?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Widely shared cringe
Do you get nervous when the phone rings unexpectedly?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Generational split
Do you get 'the ick' over tiny things?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Relatable reveal
Are you afraid of the open ocean?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Primal-fear split
Is Friday the 13th actually unlucky?,Yes,No,Belief; Society,TRUE,FALSE,BELIEF,Superstition test
Do you make a wish at 11:11?,Yes,No,Belief; Confession,TRUE,FALSE,CONFESS,Secret-habit reveal
Do horoscopes hold any truth?,Yes,No,Belief; Society,TRUE,FALSE,BELIEF,Worldview split
Can a place have 'good energy'?,Yes,No,Belief; Society,TRUE,FALSE,BELIEF,Woo-vs-skeptic split
Do you believe in love at first sight?,Yes,No,Relationships; Belief,TRUE,FALSE,BELIEF,Romantic-cynic divide
Is there such a thing as a soulmate?,Yes,No,Relationships; Belief,TRUE,FALSE,BELIEF,Big romance split
Do you knock on wood for luck?,Yes,No,Belief; Confession,TRUE,FALSE,CONFESS,Superstition reveal
Should you listen to an album in its intended order?,Yes,No,Entertainment; Debate,TRUE,FALSE,TASTE,Purist vs shuffler
Do you secretly judge people by their music taste?,Yes,No,Entertainment; Confession,TRUE,FALSE,CONFESS,Guilty-common reveal
Are your music tastes basically fixed by age 30?,Yes,No,Entertainment; Belief,TRUE,FALSE,BELIEF,Aging-taste debate
Is it fine to skip a song within ten seconds?,Yes,No,Entertainment; Habits,TRUE,FALSE,HABIT,Attention-span split
Is it okay to let a kid win at a game?,Yes,No,Family; Ethics,TRUE,FALSE,GREY,Parenting-philosophy split
Are you a sore loser?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Self-honesty reveal
Is winning more important than playing fair?,Winning,Playing fair,Values; Belief,TRUE,FALSE,BELIEF,Competitiveness reveal
Is watching sport live better than on TV?,Live,On TV,Entertainment; Taste,TRUE,FALSE,TASTE,Fan-experience split
Do you enjoy the exercise or just the feeling afterward?,The exercise,The after-feeling,Health & Wellness; Confession,TRUE,FALSE,CONFESS,Honest fitness reveal
Do you dress for comfort or for looks?,Comfort,Looks,Style; Values,TRUE,FALSE,TASTE,Priority reveal
Are pajamas acceptable for a quick errand?,Yes,No,Style; Etiquette,TRUE,FALSE,NORM,Standards split
Do you own clothes you're 'saving for a special occasion'?,Yes,No,Style; Confession,TRUE,FALSE,CONFESS,Relatable reveal
Would you rather always be overdressed or underdressed?,Overdressed,Underdressed,Style; Fun,TRUE,FALSE,TRADE,Social-anxiety split
Should adult children call their parents at least weekly?,Yes,No,Family; Norms,TRUE,FALSE,NORM,Duty-vs-autonomy split
Is it okay to have a favorite sibling?,Yes,No,Family; Confession,TRUE,FALSE,CONFESS,Taboo-lite reveal
Would you move far from family for a dream opportunity?,Yes,No,Family; Values,TRUE,FALSE,TRADE,Roots-vs-ambition
Should family always come before friends?,Yes,No,Family; Values,TRUE,FALSE,BELIEF,Loyalty divide
Is it okay to skip a big family gathering you dread?,Yes,No,Family; Ethics,TRUE,FALSE,GREY,Obligation flashpoint
Would you rather get bad news by call or by text?,Call,Text,Communication; Taste,TRUE,FALSE,TASTE,Comms-style split
Is ending a text with a period passive-aggressive?,Yes,No,Communication; Etiquette,TRUE,FALSE,NORM,Generational flashpoint
Do you over-explain in your texts?,Yes,No,Communication; Confession,TRUE,FALSE,CONFESS,Self-aware reveal
Do you reread an email five times before sending it?,Yes,No,Communication; Confession,TRUE,FALSE,CONFESS,Anxiety reveal
Do you talk more or listen more in conversations?,Talk more,Listen more,Communication; Self,TRUE,FALSE,MIRROR,Self-perception gap
Would you rather talk to animals or speak every language?,Talk to animals,Every language,Fun; Deep,TRUE,FALSE,TRADE,Fantasy-priority split
Would you rather have free flights for life or free food for life?,Free flights,Free food,Fun; Values,TRUE,FALSE,TRADE,Lifestyle reveal
Would you rather have a personal chef or a personal driver?,Chef,Driver,Fun; Values,TRUE,FALSE,TRADE,Luxury-priority split
Would you rather live without music or without movies?,Without music,Without movies,Entertainment; Deep,TRUE,FALSE,TRADE,Culture-priority split
Would you rather get a bonus or an extra week of vacation?,Bonus,Extra week off,Work & Money; Values,TRUE,FALSE,TRADE,Money-vs-time reveal
Would you rather be remembered by many or truly known by a few?,Remembered by many,Known by few,Deep; Values,TRUE,FALSE,TRADE,Legacy-vs-intimacy
Would you rather always understand others or always be understood?,Understand others,Be understood,Deep; Psychology,TRUE,FALSE,TRADE,Empathy reveal
Would you rather relive today or skip straight to tomorrow?,Relive today,Skip to tomorrow,Deep; Fun,TRUE,FALSE,TRADE,Contentment reveal
Would you rather be a little famous or very rich but unknown?,A little famous,Rich but unknown,Values; Deep,TRUE,FALSE,TRADE,Recognition-vs-wealth
Should soup count as a full meal?,Yes,No,Food & Drink; Debate,TRUE,FALSE,TASTE,Classic definition split
Is spicy food a real flavor or just pain?,Flavor,Pain,Food & Drink; Belief,TRUE,FALSE,BELIEF,Spice-tribe divide
Do you eat the last bite or leave it on the plate?,Eat it,Leave it,Food & Drink; Confession,TRUE,FALSE,CONFESS,Small-habit reveal
Is a wrap better than a sandwich?,Wrap,Sandwich,Food & Drink; Taste,TRUE,FALSE,TASTE,Lunch-loyalty split
Is cake better than pie?,Cake,Pie,Food & Drink; Taste,TRUE,FALSE,TASTE,Dessert tribes
Sweet or savory when you want a treat?,Sweet,Savory,Food & Drink; Taste,TRUE,FALSE,TASTE,Fundamental split
Would you get a chip implant if it replaced your keys and wallet?,Yes,No,Technology; Future,TRUE,FALSE,GREY,Body-tech divide
Will self-driving cars end up safer than human drivers?,Yes,No,Technology; Belief,TRUE,FALSE,BELIEF,Future-trust split
Would you trust a robot to care for an elderly relative?,Yes,No,Technology; Ethics,TRUE,FALSE,GREY,Care-tech flashpoint
Is AI-generated art 'real' art?,Yes,No,Technology; Culture,TRUE,FALSE,BELIEF,Live cultural debate
Would you want a searchable recording of your entire life?,Yes,No,Technology; Deep,TRUE,FALSE,GREY,Memory-vs-privacy
Should you always hold the elevator for someone hurrying over?,Yes,No,Cities; Etiquette,TRUE,FALSE,NORM,Everyday-civility split
Is it okay to eat strong-smelling food in an open office?,Yes,No,Work & Money; Etiquette,TRUE,FALSE,NORM,Shared-space flashpoint
Is it rude to whisper to one person in a group?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Group-norm split
Is it okay to take both armrests at the cinema?,Yes,No,Entertainment; Etiquette,TRUE,FALSE,NORM,Petty-but-real split
Should you give up your seat for anyone who looks tired?,Yes,No,Cities; Etiquette,TRUE,FALSE,NORM,Generosity threshold
Would you tell an interviewer the real reason you're leaving?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Honesty-vs-strategy
Do you spend more when paying by card than cash?,Yes,No,Money; Confession,TRUE,FALSE,CONFESS,Behavioral reveal
Is it okay to expense a borderline work meal?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Grey-zone split
Do you think you're above-average looking?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,The uncomfortable mirror
Are you better at giving advice than taking it?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Self-aware reveal
Do you think you're more disciplined than most people?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Overclaimed trait
Are you a saver or a spender?,Saver,Spender,Money; Self,TRUE,FALSE,MIRROR,Money-identity split
Are you the planner or the go-with-the-flow one?,Planner,Go with the flow,Psychology; Self,TRUE,FALSE,MIRROR,Identity split
Do you prefer giving gifts or receiving them?,Giving,Receiving,Relationships; Self,TRUE,FALSE,MIRROR,Self-image reveal
Does everyone have a book in them?,Yes,No,Deep; Belief,TRUE,FALSE,BELIEF,Optimist vs realist
Is regret more painful than failure?,Regret,Failure,Deep; Psychology,TRUE,FALSE,BELIEF,Human-condition split
Can people ever be truly selfless?,Yes,No,Ethics; Belief,TRUE,FALSE,BELIEF,Cynic vs idealist
Is it braver to walk away or to keep fighting?,Walk away,Keep fighting,Values; Belief,TRUE,FALSE,BELIEF,Courage-definition split
Is it okay to go through life with no real plan?,Yes,No,Deep; Values,TRUE,FALSE,BELIEF,Structure-vs-freedom
Should crying in public be totally normal?,Yes,No,Society; Belief,TRUE,FALSE,BELIEF,Emotional-norm split
Is being liked more important at work than being respected?,Liked,Respected,Work & Money; Belief,TRUE,FALSE,BELIEF,Workplace-priority split
Beach sunrise or mountain sunset?,Beach sunrise,Mountain sunset,Lifestyle; Fun,TRUE,FALSE,TASTE,Aesthetic split
A coffee shop or a library to get work done?,Coffee shop,Library,Lifestyle; Taste,TRUE,FALSE,TASTE,Focus-style split
Do you text in all lowercase or with proper capitals?,Lowercase,Proper capitals,Communication; Habits,TRUE,FALSE,HABIT,Generational tell
Morning workout or evening workout?,Morning,Evening,Health & Wellness; Taste,TRUE,FALSE,TASTE,Routine split
Is small talk with strangers energizing or draining?,Energizing,Draining,Psychology; Self,TRUE,FALSE,TASTE,Introvert/extrovert reveal
Do you apologize first just to end a conflict?,Yes,No,Relationships; Confession,TRUE,FALSE,CONFESS,Conflict-style reveal
Is it okay to leave a group project doing the bare minimum?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Effort-ethics split
Would you rather be busy and tired or bored and rested?,Busy & tired,Bored & rested,Lifestyle; Values,TRUE,FALSE,TRADE,Temperament split
Is it okay to nap on a stranger's shoulder on a train?,Yes,No,Travel; Etiquette,TRUE,FALSE,NORM,Boundary split
Do you keep the promises you make to yourself?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Self-trust reveal
Would you tell a friend if you saw their partner on a dating app?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Loyalty flashpoint
Have you ever matched with someone you knew was taken?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Dark dating reveal
Is it okay to read a partner's messages if you're truly suspicious?,Yes,No,Sex & Dating; Trust,FALSE,TRUE,GREY,Trust-vs-privacy
Have you ever stayed with someone mainly out of fear of being alone?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Heavy-honest reveal
Would you date someone purely for their looks?,Yes,No,Sex & Dating; Values,FALSE,TRUE,GREY,Shallow-honesty split
Have you ever lied to friends about how a date really went?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Image-management reveal
Is deep emotional intimacy with someone else a form of cheating?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Emotional-affair debate
Would you rather be your partner's first love or their last?,Their first,Their last,Sex & Dating; Deep,FALSE,TRUE,TRADE,Romance-values reveal
Have you ever pursued someone you knew was wrong for you?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Near-universal reveal
Is it okay to fantasize about a friend?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Taboo-but-common
Have you ever led someone on without meaning to?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Guilt reveal
Would you break up with someone with a slow 'fade' rather than a talk?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Avoidance-ethics split
Is it okay to look up a new date's public record before meeting?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Safety-vs-snooping
Have you ever exaggerated your job or income on a date?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Impression-management reveal
Is being someone's 'second choice' ever okay?,Yes,No,Sex & Dating; Debate,FALSE,TRUE,GREY,Self-worth split
Have you ever kept an old flame's photos?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Closure reveal
Have you ever hidden how much you spent from a partner?,Yes,No,Vices; Confession,FALSE,TRUE,CONFESS,Financial-infidelity reveal
Have you ever texted an ex late at night after drinking?,Yes,No,Vices; Confession,FALSE,TRUE,CONFESS,Universally relatable
Is regular gambling fine if you can afford to lose it?,Yes,No,Vices; Debate,FALSE,TRUE,GREY,Risk-values split
Have you ever lied about how much you drank?,Yes,No,Vices; Confession,FALSE,TRUE,CONFESS,Common taboo
Would you want your friends' brutally honest opinion of you?,Yes,No,Dark; Deep,FALSE,TRUE,GREY,Curiosity vs comfort
Have you ever felt relief when even a good relationship ended?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Taboo-honest reveal
Have you ever held a grudge for years over something small?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Near-universal reveal
Have you ever secretly enjoyed drama that wasn't yours?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Guilty-pleasure reveal
Would you read a diary you found that wasn't yours?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Temptation split
Have you ever pretended to forgive someone you actually hadn't?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Emotional-honesty reveal
Is it ever okay to cut off a parent completely?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,"Heavy, genuinely split"
Would you want to hear how people talk about you after you leave the room?,Yes,No,Dark; Deep,FALSE,TRUE,GREY,Insecurity reveal
Have you ever wished you'd never met someone you once loved?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Bittersweet reveal
Is it ever okay to lie in a eulogy?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Kindness-vs-truth
Have you ever fantasized about telling someone exactly what you think of them?,Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Widely-felt reveal
Would you keep quiet about a friend's flaw that's sabotaging them?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Comfort-vs-candor
"Have you ever ghosted a friend, not just a date?",Yes,No,Dark; Confession,FALSE,TRUE,CONFESS,Friendship-ghosting reveal
Is it okay to skip visiting a dying relative you were never close to?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Duty-vs-honesty
Would you press a button for $1M if one stranger somewhere lost their savings?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Distance-morality reveal
Have you ever had a one night stand?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Cleanly splits any table of adults
Does hooking up during a break count as cheating?,Yes,No,Sex & Dating; Debate,FALSE,TRUE,GREY,"The break defense, on trial"
Would you save your pet over a stranger?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Love versus arithmetic
Is sex on the first date okay?,Yes,No,Sex & Dating; Norms,FALSE,TRUE,NORM,Old rule vs new normal
Is it okay to sleep with a friend's ex?,Yes,No,Sex & Dating; Trust; Norms,FALSE,TRUE,NORM,Loyalty code vs fair game
Do you need to know how many people your partner has slept with?,Yes,No,Sex & Dating; Trust,FALSE,TRUE,MIRROR,"Ignorance is bliss, or is it"
Have you ever thought about an ex during sex?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,"Common, feels like a betrayal to admit"
Would you sleep with your celebrity crush if your partner would never know?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,"The freebie question, for real"
Is falling for an AI companion cheating?,Yes,No,Technology; Sex & Dating,FALSE,TRUE,GREY,"No body, real feelings"
Would you tell a widow their late spouse was cheating?,Yes,No,Dark; Ethics,FALSE,TRUE,GREY,Truth or mercy for the living
Would you rather your search history leak or one nude leak?,Search history,The nude,Dark; Confession; Technology,FALSE,TRUE,TRADE,Which shame is survivable
Would you rather your body count go public or your salary?,Body count,My salary,Sex & Dating; Money,FALSE,TRUE,TRADE,Two taboos head to head
Would you rather give up alcohol forever or sex for five years?,Alcohol forever,Sex five years,Vices; Sex & Dating,FALSE,TRUE,TRADE,"Priced honestly, splits rooms"
Would you rather an open relationship or a sexless one?,Open,Sexless,Sex & Dating; Norms,FALSE,TRUE,TRADE,Which vow matters more
Would you rather your one night stand become your boss or your in-law?,My boss,My in-law,Sex & Dating; Humor; Work,FALSE,TRUE,TRADE,Pick your forever cringe
Is it okay to fake an orgasm to wrap things up?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,NORM,Kind shortcut vs corrosive lie
Give up for one year: sex or your phone?,Sex,My phone,Sex & Dating; Technology; Vices,FALSE,TRUE,TRADE,"Screens vs sheets, honestly split"
Have you ever faked it in bed?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Famous gender gap; awkward reveal
New partner asks your exact body count. Tell the truth?,Full truth,Fudge it,Sex & Dating; Norms; Trust,FALSE,TRUE,NORM,"Truth vs tact, viral yearly"
"Press a button: $1M for you, a stranger you'll never meet dies. Press?",Press,Never,Dark; Ethics; Money,FALSE,TRUE,TRADE,Classic dilemma; morals vs money
Give one up forever: sex or your favorite food?,Keep sex,Keep food,Sex & Dating; Food & Drink; Fun,FALSE,TRUE,TRADE,Radio segment classic; loud 50/50 fights
Have you ever fantasized about a coworker?,Yes,No,Sex & Dating; Work,FALSE,TRUE,CONFESS,The office's oldest secret
Have you ever had sex somewhere you could have been caught?,Yes,No,Sex & Dating; Risk,FALSE,TRUE,CONFESS,Splits the daring from the careful
Have you ever imagined your life if your partner died first?,Yes,No,Dark; Deep; Relationships,FALSE,TRUE,CONFESS,Morbid planning is near universal
Have you ever slept with someone on the first date?,Yes,No,Sex & Dating,FALSE,TRUE,CONFESS,"Old taboo, honest split"
Have you ever cheated on a partner?,Yes,No,Sex & Dating; Dark,FALSE,TRUE,CONFESS,The ultimate anonymous split
Is a lap dance at a bachelor party cheating?,Yes,No,Sex & Dating; Ethics,FALSE,TRUE,GREY,Tradition or betrayal
Would you confess an affair your partner would never discover?,Yes,No,Ethics; Confession,FALSE,TRUE,GREY,Honesty serves you or them
Would you report a loved one for a serious crime?,Yes,No,Dark; Family,FALSE,TRUE,GREY,Justice or blood
"If it were legal and safe, would you sell a kidney for $500k?",Yes,No,Dark; Money,FALSE,TRUE,GREY,"Your spare parts, your call"
Would you tell one parent you caught the other cheating?,Yes,No,Family; Dark,FALSE,TRUE,GREY,Whose secret is it to keep
Would you secretly DNA test your child if you had doubts?,Yes,No,Family; Trust,FALSE,TRUE,GREY,Certainty at the cost of trust
Would you dump someone you love over bad sex?,Yes,No,Sex & Dating; Values,FALSE,TRUE,GREY,How much does it weigh
Would you rather die suddenly with no goodbyes or slowly with time for them?,Suddenly,Slowly,Dark; Deep,FALSE,TRUE,TRADE,Mercy for you or for them
Would you rather give up kissing forever or oral forever?,Kissing,Oral,Sex & Dating,FALSE,TRUE,TRADE,"Romance vs pleasure, loudly debated"
Would you rather your partner be bad in bed or bad with money?,Bad in bed,Bad with money,Sex & Dating; Money,FALSE,TRUE,TRADE,Which flaw you'd live with
Would you rather amazing sex once a year or average sex every week?,Amazing yearly,Average weekly,Sex & Dating,FALSE,TRUE,TRADE,"Quality vs frequency, ancient fight"
Would you rather the neighbors hear you in bed or you hear them?,They hear us,We hear them,Sex & Dating; Humor; Home,FALSE,TRUE,TRADE,Shame vs secondhand cringe
Is it okay to have sex at your parents' house?,Yes,No,Sex & Dating; Family; Norms,FALSE,TRUE,NORM,Childhood bedroom rules divide
Is it okay to keep socks on during sex?,Yes,No,Sex & Dating; Humor,FALSE,TRUE,NORM,Comfort camp vs crime camp
Is it okay to put sex on the calendar?,Yes,No,Sex & Dating; Relationships,FALSE,TRUE,NORM,Planners vs spontaneity purists
Is it okay to watch porn without telling your partner?,Yes,No,Sex & Dating; Trust,FALSE,TRUE,NORM,Private habit vs secret life
Give up forever: cheese or sex?,Cheese,Sex,Sex & Dating; Food & Drink; Humor,FALSE,TRUE,TRADE,Dairy loyalty runs deeper than lust
Have you ever had a sex dream about a friend?,Yes,No,Sex & Dating; Psychology,FALSE,TRUE,CONFESS,"Involuntary, so people actually confess"
Have you ever lied about your number of past partners?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Everyone suspects everyone rounds
Do you have a fantasy you've never told any partner?,Yes,No,Sex & Dating; Deep,FALSE,TRUE,CONFESS,Everyone wonders who is hiding what
Have you ever imagined committing the perfect crime?,Yes,No,Dark; Fun,FALSE,TRUE,CONFESS,"Harmless dark daydream, real split"
Have you ever let someone take the blame for your mistake?,Yes,No,Ethics; Dark; Confession,FALSE,TRUE,CONFESS,A guilty memory most people carry
Have you ever exaggerated your experience in bed?,Yes,No,Sex & Dating; Confession,FALSE,TRUE,CONFESS,Everyone padded that resume once
